epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,9097.05,0.46992,0.23215,0.97831,0.84523,0.78861,0.80343,0.70717,0.58435,0.26831,1.03888,0.0036145,0.0036145,0.0036145
131,9168.05,0.47394,0.23285,0.97409,0.89441,0.7882,0.82715,0.72223,0.56009,0.26748,1.01797,0.003565,0.003565,0.003565
132,9239.1,0.47023,0.22796,0.97568,0.86636,0.78858,0.82786,0.72422,0.55336,0.26408,1.03022,0.0035155,0.0035155,0.0035155
133,9309.94,0.4637,0.22695,0.97151,0.89594,0.78996,0.82628,0.72028,0.56862,0.26468,1.01664,0.003466,0.003466,0.003466
134,9380.84,0.468,0.22752,0.97093,0.80243,0.7987,0.80792,0.70859,0.58251,0.26875,1.04013,0.0034165,0.0034165,0.0034165
135,9451.63,0.46579,0.22732,0.96898,0.96219,0.78458,0.80925,0.71059,0.55714,0.26599,1.01404,0.003367,0.003367,0.003367
136,9522.58,0.46288,0.22614,0.9696,0.81362,0.76613,0.79934,0.70598,0.56672,0.26722,1.03444,0.0033175,0.0033175,0.0033175
137,9593.51,0.46612,0.2256,0.97618,0.98332,0.73492,0.81823,0.70914,0.56728,0.26735,1.02402,0.003268,0.003268,0.003268
138,9664.34,0.4634,0.22521,0.97711,0.85503,0.78311,0.83858,0.72175,0.56809,0.26551,1.03717,0.0032185,0.0032185,0.0032185
139,9734.91,0.45169,0.2204,0.96151,0.89178,0.79815,0.84328,0.73163,0.55648,0.26592,1.03207,0.003169,0.003169,0.003169
140,9805.85,0.45822,0.22179,0.97208,0.92899,0.80642,0.85582,0.73358,0.54731,0.26559,1.01844,0.0031195,0.0031195,0.0031195
141,9876.8,0.45511,0.22103,0.96841,0.9461,0.78445,0.82604,0.72115,0.56258,0.26697,1.02629,0.00307,0.00307,0.00307
142,9947.75,0.45204,0.2179,0.96598,0.92193,0.78027,0.83467,0.73455,0.54465,0.26496,1.0185,0.0030205,0.0030205,0.0030205
143,10018.7,0.44591,0.21636,0.95345,0.91243,0.78359,0.81672,0.71991,0.54542,0.26278,1.02006,0.002971,0.002971,0.002971
144,10089.5,0.44823,0.2161,0.95513,0.88405,0.78686,0.80692,0.71357,0.55278,0.26293,1.02074,0.0029215,0.0029215,0.0029215
145,10160.3,0.44169,0.21406,0.95675,0.8725,0.80074,0.81057,0.71782,0.55104,0.26017,1.01618,0.002872,0.002872,0.002872
146,10231.3,0.44622,0.21485,0.95831,0.91531,0.80144,0.81881,0.72951,0.55734,0.26049,1.02013,0.0028225,0.0028225,0.0028225
147,10302.3,0.43801,0.21219,0.95271,0.89947,0.78733,0.81485,0.72141,0.54809,0.26067,1.01451,0.002773,0.002773,0.002773
148,10373,0.44305,0.2133,0.95887,0.95425,0.78538,0.81458,0.72107,0.55364,0.25984,1.01989,0.0027235,0.0027235,0.0027235
149,10443.5,0.43783,0.21317,0.95057,0.87872,0.7666,0.80168,0.71484,0.54908,0.26074,1.01531,0.002674,0.002674,0.002674
150,10514.2,0.43878,0.21096,0.9544,0.9059,0.78748,0.82166,0.72389,0.53711,0.25637,1.0085,0.0026245,0.0026245,0.0026245
151,10585,0.43704,0.21117,0.94999,0.8881,0.78611,0.81288,0.71577,0.54015,0.25673,1.01016,0.002575,0.002575,0.002575
152,10656,0.43968,0.20837,0.95256,0.86632,0.79046,0.82979,0.72775,0.53907,0.25672,1.01297,0.0025255,0.0025255,0.0025255
153,10726.8,0.4315,0.20596,0.95014,0.93932,0.78746,0.82746,0.73458,0.53538,0.25698,1.01375,0.002476,0.002476,0.002476
154,10797.8,0.42768,0.20525,0.94624,0.89669,0.78636,0.81858,0.73526,0.53416,0.256,1.00792,0.0024265,0.0024265,0.0024265
155,10868.7,0.42955,0.2072,0.9442,0.84967,0.81298,0.82266,0.73378,0.53432,0.25696,1.01126,0.002377,0.002377,0.002377
156,10939.6,0.4307,0.20806,0.95165,0.86335,0.7871,0.82083,0.728,0.52254,0.25522,1.0008,0.0023275,0.0023275,0.0023275
157,11010.6,0.42502,0.20363,0.94774,0.88195,0.78568,0.82583,0.7315,0.54119,0.26238,1.01477,0.002278,0.002278,0.002278
158,11081.6,0.42621,0.20342,0.94537,0.958,0.78035,0.82649,0.73531,0.53658,0.26102,1.01047,0.0022285,0.0022285,0.0022285
159,11152.3,0.42645,0.2038,0.942,0.90169,0.78723,0.82671,0.73413,0.54264,0.25873,1.02027,0.002179,0.002179,0.002179
160,11223,0.41857,0.20053,0.94502,0.96243,0.78024,0.83544,0.73778,0.54303,0.25512,1.01996,0.0021295,0.0021295,0.0021295
161,11294,0.4217,0.19989,0.94215,0.8973,0.78782,0.82408,0.73072,0.54617,0.25633,1.01997,0.00208,0.00208,0.00208
162,11364.9,0.41426,0.19696,0.93981,0.93283,0.78858,0.83095,0.72582,0.53356,0.25401,1.00932,0.0020305,0.0020305,0.0020305
163,11435.7,0.4128,0.19468,0.93669,0.94099,0.78778,0.83027,0.72452,0.53162,0.25247,1.01235,0.001981,0.001981,0.001981
164,11506.5,0.41162,0.19421,0.93447,0.93195,0.78682,0.83929,0.73333,0.52706,0.25201,1.01012,0.0019315,0.0019315,0.0019315
165,11577.4,0.40911,0.19407,0.93175,0.91237,0.76602,0.82186,0.73461,0.52973,0.25108,1.01799,0.001882,0.001882,0.001882
166,11648.3,0.40988,0.19503,0.93758,0.83733,0.76762,0.81022,0.72912,0.52916,0.25138,1.01832,0.0018325,0.0018325,0.0018325
167,11719.3,0.40794,0.19456,0.93034,0.85814,0.77682,0.82604,0.73832,0.5259,0.24969,1.01565,0.001783,0.001783,0.001783
168,11790.1,0.40697,0.19472,0.93042,0.93068,0.78905,0.83092,0.73456,0.52516,0.25094,1.01976,0.0017335,0.0017335,0.0017335
169,11860.8,0.39972,0.19004,0.92967,0.9293,0.7893,0.83196,0.73548,0.52321,0.25138,1.01233,0.001684,0.001684,0.001684
170,11931.4,0.4003,0.19104,0.93163,0.86673,0.78621,0.81931,0.73566,0.52643,0.2544,1.01756,0.0016345,0.0016345,0.0016345
171,12002.2,0.40286,0.19064,0.92967,0.96631,0.8045,0.83775,0.7438,0.53001,0.25389,1.01851,0.001585,0.001585,0.001585
172,12073.4,0.39306,0.18661,0.92655,0.96568,0.80619,0.85064,0.75228,0.52712,0.25404,1.01893,0.0015355,0.0015355,0.0015355
